"AvailableTranscripts";"Rated";"DatePosted"
Any["Arabic","Burmese","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","French","Hebrew","Hindi","Hungarian","Indonesian","Italian","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Telugu","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Ingenious"];"Jan 2016"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Dutch","English","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Turkish","Vietnamese"];String["Inspiring, Persuasive"];"Mar 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","English","Estonian","French","French (Canada)","Georgian","German","Gujarati","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Lithuanian","Macedonian","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Telugu","Turkish","Vietnamese"];String["Inspiring, Informative"];"Nov 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","Finnish","French","German","Greek","Hebrew","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Vietnamese"];String["Inspiring, Informative"];"Feb 2016"
Any["Arabic","Basque","Catalan","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Macedonian","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Vietnamese"];String["Inspiring, Informative"];"Mar 2016"
Any["Albanian","Arabic","Armenian","Belarusian","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","Galician","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Latvian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Slovenian","Spanish","Thai","Turkish","Ukrainian","Vietnamese"];String["Beautiful, Fascinating"];"Nov 2011"
Any["Arabic","English","French","German","Indonesian","Korean","Portuguese, Brazilian","Russian","Spanish","Swedish","Turkish","Vietnamese"];String["Inspiring, Informative"];"Nov 2016"
Any["Arabic","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Danish","Dutch","English","French","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Telugu","Thai","Turkish","Ukrainian","Vietnamese"];String["Informative, Funny"];"Dec 2015"
Any["Arabic","Belarusian","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","Finnish","French","Georgian","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Vietnamese"];String["Fascinating, Informative"];"Feb 2016"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Danish","Dutch","English","French","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Kurdish","Lithuanian","Macedonian","Malay","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Turkish","Ukrainian","Vietnamese"];String["Informative, Fascinating"];"Nov 2011"
Any["Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Lithuanian","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Serbian","Slovenian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Beautiful, Inspiring"];"Nov 2016"
Any["Chinese, Simplified","Croatian","Czech","Dutch","English","Greek","Portuguese, Brazilian","Spanish","Ukrainian","Vietnamese"];String["Beautiful, Courageous"];"Apr 2017"
Any["Albanian","Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Nov 2011"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Thai","Turkish","Vietnamese"];String["Inspiring, Fascinating"];"Feb 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","Esperanto","French","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Korean","Macedonian","Norwegian Bokmal","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Vietnamese"];String["Informative, Inspiring"];"Dec 2015"
Any["Albanian","Arabic","Bengali","Bulgarian","Burmese","Catalan","Chinese, Simplified","Chinese, Traditional","Chinese, Yue","Croatian","Czech","Danish","Dutch","English","Esperanto","French","Galician","Greek","Hebrew","Hindi","Hungarian","Indonesian","Italian","Japanese","Korean","Latvian","Lithuanian","Macedonian","Nepali","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Telugu","Thai","Turkish","Ukrainian","Urdu","Vietnamese"];String["Informative, Inspiring"];"Jan 2016"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","French (Canada)","Galician","German","Greek","Hebrew","Hindi","Hungarian","Indonesian","Italian","Japanese","Korean","Lithuanian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Swedish","Tamil","Thai","Turkish","Ukrainian","Vietnamese"];String["Ingenious, Fascinating"];"Nov 2011"
Any["English","French","Portuguese, Brazilian"];String["Inspiring, Informative"];"Apr 2017"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Informative"];"Mar 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese, Brazilian","Romanian","Russian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Informative, Courageous"];"Oct 2006"
Any["Albanian","Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","Georgian","German","Greek","Hebrew","Hindi","Hungarian","Indonesian","Italian","Japanese","Korean","Malay","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Spanish","Turkish","Vietnamese"];String["Persuasive, Fascinating"];"Oct 2006"
Any["Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","French","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Informative"];"Feb 2016"
Any["Arabic","Armenian","Azerbaijani","Bulgarian","Catalan","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Latvian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Thai","Turkish","Vietnamese"];String["Fascinating, Inspiring"];"Nov 2011"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Oct 2006"
Any["Arabic","Chinese, Traditional","Croatian","Dutch","English","French","Georgian","Hebrew","Hungarian","Japanese","Korean","Lithuanian","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Vietnamese"];String["Informative, Fascinating"];"Nov 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Dutch","English","Esperanto","Finnish","French","German","Greek","Hebrew","Italian","Japanese","Korean","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Spanish","Thai","Turkish","Vietnamese"];String["Inspiring, Persuasive"];"Oct 2006"
Any["Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Danish","Dutch","English","Estonian","Finnish","French","French (Canada)","Galician","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Swedish","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Ingenious"];"Nov 2011"
Any["Arabic","Azerbaijani","Bulgarian","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","Finnish","French","German","Greek","Hebrew","Hindi","Hungarian","Italian","Japanese","Korean","Macedonian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Spanish","Turkish","Ukrainian"];String["Inspiring, Informative"];"Oct 2006"
Any["Burmese","English","German","Hungarian","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish"];String["Informative, Persuasive"];"Mar 2017"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Danish","Dutch","English","French","German","Hebrew","Italian","Japanese","Korean","Polish","Portuguese, Brazilian","Russian","Serbian","Spanish","Thai","Turkish","Vietnamese"];String["Inspiring, Fascinating"];"Mar 2016"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Greek","Hebrew","Indonesian","Italian","Japanese","Korean","Lithuanian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Thai","Turkish","Vietnamese"];String["Inspiring, Ingenious"];"Jul 2006"
Any["Arabic","Burmese","Chinese, Simplified","Chinese, Traditional","Chinese, Yue","Croatian","Czech","Dutch","English","French","German","Hebrew","Hungarian","Italian","Japanese","Korean","Lithuanian","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Informative"];"Mar 2016"
Any["Arabic","English","French","Portuguese"];String["Beautiful, Inspiring"];"May 2017"
Any["Arabic","Bulgarian","Chinese, Traditional","Czech","Dutch","English","Hebrew","Hungarian","Italian","Korean","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Swedish","Ukrainian"];String["Informative, Fascinating"];"Mar 2017"
Any["Arabic","Dutch","English","French","Greek","Italian","Korean","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Ukrainian","Vietnamese"];String["Funny, Informative"];"Mar 2017"
Any["Arabic","Burmese","Chinese, Traditional","Croatian","Czech","English","French","Greek","Hebrew","Korean","Persian","Portuguese, Brazilian","Russian","Spanish","Swedish","Turkish"];String["Inspiring, Persuasive"];"Apr 2017"
Any["Albanian","Arabic","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","French","German","Greek","Hebrew","Italian","Japanese","Korean","Latvian","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Turkish","Vietnamese"];String["Inspiring, Beautiful"];"Mar 2016"
Any["Albanian","Arabic","Belarusian","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Chinese, Yue","Croatian","Czech","Dutch","English","French","French (Canada)","Galician","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Kurdish","Lithuanian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Turkish","Ukrainian","Urdu","Vietnamese"];String["Informative, Inspiring"];"Feb 2016"
Any["Arabic","Burmese","English","French","Georgian","Hungarian","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Spanish","Turkish","Vietnamese"];String["Inspiring, Informative"];"Feb 2017"
Any["Albanian","Arabic","Armenian","Bulgarian","Catalan","Chinese, Simplified","Chinese, Traditional","Chinese, Yue","Croatian","Czech","Danish","Dutch","English","French","Galician","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Lithuanian","Norwegian Bokmal","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Swedish","Thai","Turkish","Ukrainian","Vietnamese"];String["Funny, Inspiring"];"Nov 2011"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Chinese, Yue","Croatian","Czech","Dutch","English","Finnish","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Turkish","Vietnamese"];String["Informative, Fascinating"];"Dec 2011"
Any["Arabic","Belarusian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Kazakh","Korean","Latvian","Malay","Marathi","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Swedish","Telugu","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Dec 2015"
Any["English","Portuguese","Portuguese, Brazilian","Ukrainian","Vietnamese"];String["Inspiring, Beautiful"];"Apr 2017"
Any["Dutch","English","Hebrew","Japanese","Portuguese, Brazilian"];String["Inspiring, Courageous"];"Apr 2017"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","German","Greek","Hebrew","Indonesian","Italian","Japanese","Korean","Latvian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Feb 2016"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Vietnamese"];String["Informative, Persuasive"];"Feb 2016"
Any["English"];String["Funny, Informative"];"Mar 2017"
Any["Albanian","Arabic","Armenian","Bulgarian","Catalan","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Danish","Dutch","English","Finnish","French","German","Greek","Hebrew","Hungarian","Icelandic","Indonesian","Italian","Japanese","Korean","Kurdish","Latvian","Lithuanian","Macedonian","Mongolian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Slovenian","Spanish","Swedish","Thai","Turkish","Ukrainian","Vietnamese"];String["Fascinating, Informative"];"Sep 2006"
Any["Arabic","Burmese","Chinese, Simplified","Chinese, Traditional","English","French","Georgian","German","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Ukrainian","Vietnamese"];String["Informative, Fascinating"];"Nov 2016"
Any["English","Hebrew","Korean","Portuguese","Spanish","Vietnamese"];String["Informative, Persuasive"];"Apr 2017"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Chinese, Yue","English","French","German","Greek","Hebrew","Italian","Japanese","Korean","Polish","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Thai","Turkish","Vietnamese"];String["Fascinating, Informative"];"Jan 2016"
Any["Croatian","Dutch","English","Greek","Japanese","Korean","Portuguese","Portuguese, Brazilian","Spanish"];String["Informative, Inspiring"];"Apr 2017"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","English","French","German","Hebrew","Indonesian","Italian","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Thai","Ukrainian","Vietnamese"];String["Informative, Persuasive"];"Jan 2016"
Any["Chinese, Traditional","Dutch","English","French","Portuguese","Spanish"];String["Inspiring, Informative"];"May 2017"
Any["Arabic","Dutch","English","Hebrew","Italian","Japanese","Polish","Portuguese","Portuguese, Brazilian","Russian","Spanish","Turkish","Vietnamese"];String["Inspiring, Beautiful"];"Dec 2016"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","Galician","German","Hebrew","Italian","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Thai","Vietnamese"];String["Informative, Persuasive"];"Feb 2016"
Any["Arabic","Bulgarian","Catalan","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","French","German","Hebrew","Italian","Japanese","Korean","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Spanish","Thai","Turkish"];String["Informative, Inspiring"];"Oct 2006"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","French","Greek","Hungarian","Italian","Korean","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Beautiful"];"Dec 2016"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Dutch","English","Esperanto","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Thai","Turkish","Vietnamese"];String["Informative, Fascinating"];"Jan 2016"
Any["English","Japanese","Korean","Portuguese","Serbian","Spanish","Vietnamese"];String["Fascinating, Inspiring"];"Apr 2017"
Any["Arabic","English","French","Italian","Portuguese","Portuguese, Brazilian","Turkish"];String["Beautiful, Courageous"];"Mar 2017"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Kurdish","Latvian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Spanish","Turkish","Vietnamese"];String["Inspiring, Fascinating"];"Oct 2006"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Greek","Hebrew","Italian","Japanese","Korean","Norwegian Bokmal","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Turkish"];String["Inspiring, Courageous"];"Sep 2006"
Any["Arabic","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","Esperanto","French","German","Greek","Hebrew","Hindi","Hungarian","Indonesian","Italian","Japanese","Korean","Lithuanian","Marathi","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Swedish","Thai","Turkish","Vietnamese"];String["Inspiring, Ingenious"];"Nov 2016"
Any["Dutch","English","French","Hebrew","Japanese","Korean","Portuguese","Portuguese, Brazilian","Serbian","Ukrainian","Vietnamese"];String["Informative, Beautiful"];"Apr 2017"
Any["Arabic","Burmese","Chinese, Simplified","Chinese, Yue","Croatian","Czech","English","French","German","Hebrew","Hungarian","Japanese","Korean","Persian","Portuguese","Russian","Serbian","Turkish","Vietnamese"];String["Inspiring, Informative"];"Feb 2017"
