"AvailableTranscripts";"Rated";"DatePosted"
Any["Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Marathi","Nepali","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Jan 2016"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","Hebrew","Italian","Japanese","Korean","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Jan 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Danish","English","Finnish","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Turkish","Ukrainian","Vietnamese"];String["Fascinating, Inspiring"];"Mar 2016"
Any["Chinese, Simplified","Chinese, Traditional","Dutch","English","French","Greek","Hungarian","Korean","Persian","Portuguese","Portuguese, Brazilian"];String["Courageous, Inspiring"];"Mar 2017"
Any["Albanian","Arabic","Armenian","Azerbaijani","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Danish","Dutch","English","Finnish","French","Georgian","German","Greek","Hebrew","Hindi","Hungarian","Italian","Japanese","Korean","Kurdish","Latvian","Lithuanian","Norwegian Bokmal","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Slovenian","Spanish","Swedish","Thai","Turkish","Vietnamese"];String["Funny, Persuasive"];"Nov 2006"
Any["Bulgarian","Burmese","English","French","Hebrew","Hungarian","Lithuanian","Mongolian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Mar 2017"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Greek","Hebrew","Indonesian","Italian","Japanese","Korean","Norwegian Bokmal","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Turkish","Vietnamese"];String["Informative, Persuasive"];"Feb 2016"
Any["English","French","Hebrew","Hungarian","Italian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Ukrainian"];String["Informative, Persuasive"];"Mar 2017"
Any["Chinese, Simplified","Dutch","English","French","Hebrew","Japanese","Korean","Polish","Portuguese","Serbian","Spanish"];String["Informative, Fascinating"];"Mar 2017"
Any["English","Japanese","Portuguese","Portuguese, Brazilian","Russian"];String["Informative, Fascinating"];"Apr 2017"
Any["Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Greek","Hebrew","Indonesian","Italian","Japanese","Korean","Kurdish","Lithuanian","Polish","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Turkish","Vietnamese"];String["Inspiring, Informative"];"Aug 2006"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Chinese, Yue","Croatian","English","French","German","Hebrew","Italian","Japanese","Korean","Lithuanian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Fascinating, Inspiring"];"Jan 2016"
Any["Albanian","Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","French","Galician","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Lithuanian","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Ukrainian","Vietnamese"];String["Informative, Fascinating"];"Jan 2016"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","Galician","German","Greek","Hebrew","Hindi","Indonesian","Italian","Japanese","Korean","Marathi","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovenian","Spanish","Swedish","Thai","Ukrainian","Vietnamese"];String["Inspiring, Informative"];"Feb 2016"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Portuguese","Portuguese, Brazilian","Russian","Spanish","Thai","Turkish","Urdu","Vietnamese"];String["Informative, Persuasive"];"Dec 2015"
Any["Bulgarian","Chinese, Traditional","Czech","Dutch","English","Hebrew","Italian","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Spanish"];String["Informative, Inspiring"];"Mar 2017"
Any["Arabic","Belarusian","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Greek","Hebrew","Italian","Japanese","Korean","Mongolian","Norwegian Bokmal","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Beautiful"];"Apr 2017"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Thai","Turkish","Ukrainian","Vietnamese"];String["Fascinating, Informative"];"Feb 2016"
Any["Arabic","Chinese, Simplified","Danish","Dutch","English","French","Georgian","Hebrew","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Russian","Turkish","Ukrainian","Vietnamese"];String["Informative, Fascinating"];"Dec 2016"
Any["Albanian","Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","French","German","Hebrew","Hindi","Hungarian","Italian","Japanese","Korean","Kurdish","Macedonian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Tamil","Telugu","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Mar 2016"
Any["Arabic","Azerbaijani","Bulgarian","Catalan","Chinese, Simplified","Chinese, Traditional","Czech","Danish","Dutch","English","Finnish","French","Georgian","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Lithuanian","Marathi","Norwegian Bokmal","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Swedish","Turkish","Vietnamese"];String["Fascinating, Inspiring"];"Sep 2006"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","English","French","German","Hebrew","Italian","Japanese","Korean","Kurdish","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Spanish","Turkish","Vietnamese"];String["Ingenious, Informative"];"Oct 2006"
Any["English","Serbian","Vietnamese"];String["Informative, Fascinating"];"May 2017"
Any["Arabic","Belarusian","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Danish","Dutch","English","Estonian","French","German","Greek","Hebrew","Hindi","Hungarian","Indonesian","Italian","Japanese","Korean","Latvian","Lithuanian","Macedonian","Mongolian","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Slovenian","Spanish","Swedish","Telugu","Thai","Turkish","Ukrainian","Uzbek","Vietnamese"];String["Inspiring, Beautiful"];"Dec 2015"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Hebrew","Hungarian","Italian","Japanese","Korean","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Beautiful"];"Aug 2006"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","French","Galician","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Marathi","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Thai","Turkish","Vietnamese"];String["Informative, Fascinating"];"Mar 2016"
Any["English","Spanish"];String["Inspiring, Informative"];"May 2017"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","Greek","Hebrew","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Spanish","Turkish","Ukrainian"];String["Inspiring, Informative"];"Dec 2016"
Any["Arabic","Basque","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Ukrainian"];String["Inspiring, Funny"];"Nov 2016"
Any["Arabic","Chinese, Simplified","Dutch","English","French","Hebrew","Italian","Korean","Portuguese","Portuguese, Brazilian","Russian","Spanish","Thai"];String["Persuasive, Inspiring"];"Nov 2011"
Any["Croatian","Dutch","English","French","German","Italian","Marathi","Spanish"];String["Courageous, Inspiring"];"May 2017"
Any["Bulgarian","Burmese","Chinese, Simplified","Czech","Dutch","English","French","German","Hebrew","Italian","Kazakh","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Serbian","Spanish","Swahili","Thai","Turkish","Ukrainian"];String["Beautiful, Inspiring"];"Mar 2017"
Any["Bulgarian","Dutch","English","French","German","Italian","Japanese","Portuguese","Vietnamese"];String["Beautiful, Inspiring"];"Dec 2011"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Hebrew","Italian","Japanese","Korean","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Turkish"];String["Informative, Inspiring"];"Oct 2006"
Any["Arabic","Burmese","Chinese, Simplified","Chinese, Traditional","English","French","German","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Spanish","Swedish","Turkish","Vietnamese"];String["Fascinating, Ingenious"];"Feb 2016"
Any["Croatian","English","French","Russian","Spanish"];String["Informative, Persuasive"];"Apr 2017"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Czech","Danish","Dutch","English","French","German","Hebrew","Hungarian","Italian","Japanese","Korean","Lithuanian","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Turkish","Vietnamese"];String["Informative, Fascinating"];"Jan 2016"
Any["English","Italian","Korean"];String["Inspiring, Beautiful"];"Apr 2017"
Any["Chinese, Simplified","English","Hindi","Marathi","Spanish"];String["Inspiring, Beautiful"];"May 2017"
Any["Albanian","Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Turkish","Vietnamese"];String["Inspiring, Beautiful"];"Feb 2016"
Any["Czech","Dutch","English","French","Hebrew","Italian","Portuguese, Brazilian","Serbian","Spanish"];String["Beautiful, Inspiring"];"Apr 2017"
Any["Chinese, Traditional","English","Portuguese, Brazilian","Spanish"];String["Inspiring, Informative"];"Apr 2017"
Any["Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Greek","Hebrew","Italian","Japanese","Korean","Lithuanian","Persian","Polish","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Vietnamese"];String["Beautiful, Fascinating"];"Oct 2016"
Any["Albanian","Danish","English","French","Greek","Hungarian","Italian","Korean","Russian","Serbian"];String["Inspiring, Persuasive"];"Mar 2017"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Informative"];"Dec 2011"
Any["Czech","Dutch","English","French","Hungarian","Italian","Japanese","Korean","Portuguese","Portuguese, Brazilian","Serbian","Ukrainian"];String["Informative, Persuasive"];"Feb 2017"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","Galician","German","Hebrew","Indonesian","Italian","Japanese","Korean","Macedonian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Beautiful"];"Dec 2011"
Any["Albanian","Arabic","Bulgarian","Burmese","Chinese, Traditional","Dutch","English","German","Greek","Hungarian","Japanese","Korean","Portuguese, Brazilian","Spanish","Thai","Turkish"];String["Informative, Courageous"];"Apr 2017"
Any["Arabic","Azerbaijani","Belarusian","Bulgarian","Burmese","Catalan","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","Georgian","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Latvian","Norwegian Bokmal","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Thai","Turkish","Ukrainian","Urdu","Vietnamese"];String["Informative, Fascinating"];"Nov 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Turkish"];String["Informative, Funny"];"Sep 2006"
Any["English"];String["Informative, Fascinating"];"May 2017"
Any["Arabic","Basque","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","Georgian","German","Hebrew","Indonesian","Italian","Korean","Polish","Portuguese","Portuguese, Brazilian","Russian","Spanish","Swedish","Thai","Turkish","Ukrainian","Vietnamese"];String["Courageous, Inspiring"];"Nov 2016"
Any["Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","English","French","Galician","German","Greek","Hebrew","Italian","Japanese","Korean","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Thai","Turkish","Vietnamese"];String["Informative, Inspiring"];"Jan 2016"
Any["Arabic","Chinese, Simplified","Croatian","Czech","Dutch","English","French","Greek","Hindi","Hungarian","Italian","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Swedish","Thai","Turkish","Ukrainian","Vietnamese"];String["Informative, Fascinating"];"Oct 2016"
Any["English"];String["Informative, Ingenious"];"May 2017"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","Estonian","French","French (Canada)","German","Greek","Hebrew","Italian","Japanese","Korean","Latvian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Thai","Turkish","Ukrainian","Vietnamese"];String["Beautiful, Inspiring"];"Feb 2016"
Any["Albanian","Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Danish","Dutch","English","French","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Kazakh","Korean","Lithuanian","Mongolian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Thai","Turkish","Ukrainian","Urdu","Uyghur","Vietnamese"];String["Inspiring, Funny"];"Nov 2011"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Chinese, Yue","Dutch","English","French","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Malay","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Swedish","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Informative"];"Jan 2016"
Any["Albanian","Arabic","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Hungarian","Italian","Japanese","Korean","Persian","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Thai","Turkish","Ukrainian"];String["Inspiring, Beautiful"];"Nov 2016"
Any["Arabic","Bulgarian","Burmese","Catalan","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Danish","Dutch","English","Finnish","French","French (Canada)","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Latvian","Lithuanian","Marathi","Mongolian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Ukrainian","Urdu","Vietnamese"];String["Funny, Inspiring"];"Mar 2016"
Any["Arabic","Chinese, Simplified","Dutch","English","French","Japanese","Korean","Portuguese, Brazilian","Serbian","Slovenian","Spanish","Swedish","Turkish"];String["Beautiful, Inspiring"];"Dec 2016"
Any["Burmese","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","Greek","Hebrew","Japanese","Korean","Portuguese","Portuguese, Brazilian","Turkish","Ukrainian"];String["Funny, Informative"];"Apr 2017"
Any["Albanian","Arabic","Armenian","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","Georgian","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Kurdish","Macedonian","Norwegian Bokmal","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Persuasive"];"Jun 2006"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Czech","Danish","Dutch","Dzongkha","English","French","Greek","Hebrew","Italian","Japanese","Korean","Nepali","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Vietnamese"];String["Inspiring, Beautiful"];"Mar 2016"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","Esperanto","French","Georgian","German","Hebrew","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Spanish","Ukrainian","Vietnamese"];String["Informative, Inspiring"];"Dec 2016"
Any["Arabic","Chinese, Traditional","Croatian","English","French","French (Canada)","German","Hebrew","Hungarian","Italian","Japanese","Korean","Mongolian","Persian","Polish","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Nov 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Danish","Dutch","English","French","German","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Macedonian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Courageous"];"Jan 2016"
Any["English","French","Hebrew","Hungarian"];String["Informative, Persuasive"];"May 2017"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Chinese, Yue","Croatian","Danish","Dutch","English","Finnish","French","Galician","Georgian","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Macedonian","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Ukrainian","Vietnamese"];String["Informative, Inspiring"];"Jan 2016"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Latvian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Slovenian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Fascinating, Ingenious"];"Dec 2011"
Any["Dutch","English","French","Greek","Hebrew","Italian","Korean","Persian","Portuguese","Russian","Serbian"];String["Informative, Fascinating"];"Feb 2017"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Danish","Dutch","English","French","German","Hebrew","Italian","Japanese","Korean","Lithuanian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovenian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Funny, Ingenious"];"Aug 2006"
